time,A,B,mode
2026-01-01 00:00:00,0.2,0.1,1
2026-01-01 00:05:00,0.4,0.3,1
2026-01-01 00:10:00,0.5,0.4,1
2026-01-01 00:15:00,0.6,0.5,1
2026-01-01 00:20:00,0.7,0.6,1
2026-01-01 00:25:00,0.8,0.7,1
2026-01-01 00:30:00,1.0,0.9,1
2026-01-01 00:35:00,1.2,1.1,1
2026-01-01 00:40:00,1.5,1.4,1
2026-01-01 00:45:00,1.7,1.6,0
2026-01-01 00:50:00,2.0,1.8,1
2026-01-01 00:55:00,,1.9,1
2026-01-01 01:00:00,1.0,1.0,1
2026-01-01 01:05:00,1.2,1.1,1
2026-01-01 01:20:00,0.2,0.2,1
2026-01-01 01:25:00,0.4,0.3,1
2026-01-01 01:30:00,1.5,1.4,1
2026-01-01 01:35:00,2.0,1.8,1
2026-01-01 01:40:00,3.0,2.8,1
2026-01-01 01:45:00,4.0,3.8,1
2026-01-01 01:50:00,0.5,0.4,1
